number;name;type1;type2;total;hp;attack;defense;sp_attack;sp_defense;speed;generation;legendary; antecesor; predecesor;Column1
20;Alolan Raticate;Dark;Normal;413;75;71;70;40;80;77;7;FALSO; Alolan Rattata; NONE;
21;Spearow;Normal;Flying;262;40;60;30;31;31;70;1;FALSO; NONE; Fearow;
22;Fearow;Normal;Flying;442;65;90;65;61;61;100;1;FALSO; Spearow; NONE;
23;Ekans;Poison;NONE;288;35;60;44;40;54;55;1;FALSO; NONE; Arbok;
24;Arbok;Poison;NONE;438;60;85;69;65;79;80;1;FALSO; Ekans; NONE;
25;Pikachu;Electric;NONE;320;35;55;40;50;50;90;1;FALSO; Pichu; Raichu;
25;Gigantamax Pikachu;Electric;NONE;320;35;55;40;50;50;90;1;FALSO; NONE; NONE;
26;Raichu;Electric;NONE;485;60;90;55;90;80;110;1;FALSO; Pikachu; NONE;
26;Alolan Raichu;Electric;Psychic;485;60;85;50;95;85;110;7;FALSO; Pikachu; NONE;
27;Sandshrew;Ground;NONE;300;50;75;85;20;30;40;1;FALSO; NONE; Sandslash;
27;Alolan Sandshrew;Ice;Steel;300;50;75;90;10;35;40;7;FALSO; NONE; Alolan Sandslash;
28;Sandslash;Ground;NONE;450;75;100;110;45;55;65;1;FALSO; Sandshrew; NONE;
28;Alolan Sandslash;Ice;Steel;450;75;100;120;25;65;65;7;FALSO; Alolan Sandshrew; NONE;
29;Nidoran?;Poison;NONE;275;55;47;52;40;40;41;1;FALSO; NONE; Nidorina;
30;Nidorina;Poison;NONE;365;70;62;67;55;55;56;1;FALSO; Nidoran?; Nidoqueen;
31;Nidoqueen;Poison;Ground;505;90;92;87;75;85;76;1;FALSO; Nidorina; NONE;
32;Nidoran?;Poison;NONE;273;46;57;40;40;40;50;1;FALSO; NONE; Nidorino;
33;Nidorino;Poison;NONE;365;61;72;57;55;55;65;1;FALSO; Nidoran?; Nidoking;
34;Nidoking;Poison;Ground;505;81;102;77;85;75;85;1;FALSO; Nidorino; NONE;
35;Clefairy;Fairy;NONE;323;70;45;48;60;65;35;1;FALSO; Cleffa; Clefable;
36;Clefable;Fairy;NONE;483;95;70;73;95;90;60;1;FALSO; Clefairy; NONE;
37;Vulpix;Fire;NONE;299;38;41;40;50;65;65;1;FALSO; NONE; Ninetales;
37;Alolan Vulpix;Ice;NONE;299;38;41;40;50;65;65;7;FALSO; NONE; Alolan Ninetales;
38;Ninetales;Fire;NONE;505;73;76;75;81;100;100;1;FALSO; Vulpix; NONE;
38;Alolan Ninetales;Ice;Fairy;505;73;67;75;81;100;109;7;FALSO; Alolan Vulpix; NONE;
39;Jigglypuff;Normal;Fairy;270;115;45;20;45;25;20;1;FALSO; Igglybuff; Wigglytuff;
40;Wigglytuff;Normal;Fairy;435;140;70;45;85;50;45;1;FALSO; Jigglypuff; NONE;
41;Zubat;Poison;Flying;245;40;45;35;30;40;55;1;FALSO; NONE; Golbat;
42;Golbat;Poison;Flying;455;75;80;70;65;75;90;1;FALSO; Zubat; Crobat;
43;Oddish;Grass;Poison;320;45;50;55;75;65;30;1;FALSO; NONE; Gloom;
44;Gloom;Grass;Poison;395;60;65;70;85;75;40;1;FALSO; Oddish; Vileplume;
45;Vileplume;Grass;Poison;490;75;80;85;110;90;50;1;FALSO; Gloom; NONE;
46;Paras;Bug;Grass;285;35;70;55;45;55;25;1;FALSO; NONE; Parasect;
47;Parasect;Bug;Grass;405;60;95;80;60;80;30;1;FALSO; Paras; NONE;
48;Venonat;Bug;Poison;305;60;55;50;40;55;45;1;FALSO; NONE; Venomoth;
49;Venomoth;Bug;Poison;450;70;65;60;90;75;90;1;FALSO; Venonat; NONE;
50;Diglett;Ground;NONE;265;10;55;25;35;45;95;1;FALSO; NONE; Dugtrio;
50;Alolan Diglett;Ground;Steel;265;10;55;30;35;45;90;7;FALSO; NONE; Alolan Dugtrio;
51;Dugtrio;Ground;NONE;405;35;80;50;50;70;120;1;FALSO; Diglett; NONE;
51;Alolan Dugtrio;Ground;Steel;425;35;100;60;50;70;110;7;FALSO; Alolan Diglett; NONE;
52;Meowth;Normal;NONE;290;40;45;35;40;40;90;1;FALSO; NONE; Persian;
53;Gigantamax Meowth;Normal;NONE;290;40;45;35;40;40;90;1;FALSO; NONE; NONE;
52;Alolan Meowth;Dark;NONE;290;40;35;35;50;40;90;7;FALSO; NONE; Alolan Persian;
52;Galarian Meowth;Steel;NONE;290;50;65;55;40;40;40;8;FALSO; NONE; Perrserker;
53;Persian;Normal;NONE;440;65;70;60;65;65;115;1;FALSO; Meowth; NONE;
53;Alolan Persian;Dark;NONE;440;65;60;60;75;65;115;7;FALSO; Alolan Meowth; NONE;
54;Psyduck;Water;NONE;320;50;52;48;65;50;55;1;FALSO; NONE; Golduck;
55;Golduck;Water;NONE;500;80;82;78;95;80;85;1;FALSO; Psyduck; NONE;
56;Mankey;Fighting;NONE;305;40;80;35;35;45;70;1;FALSO; NONE; Primeape;
57;Primeape;Fighting;NONE;455;65;105;60;60;70;95;1;FALSO; Mankey; NONE;
58;Growlithe;Fire;NONE;350;55;70;45;70;50;60;1;FALSO; NONE; Arcanine;
59;Arcanine;Fire;NONE;555;90;110;80;100;80;95;1;FALSO; Growlithe; NONE;
60;Poliwag;Water;NONE;300;40;50;40;40;40;90;1;FALSO; NONE; Poliwhirl;
61;Poliwhirl;Water;NONE;385;65;65;65;50;50;90;1;FALSO; Poliwag; Poliwrath;
62;Poliwrath;Water;Fighting;510;90;95;95;70;90;70;1;FALSO; Poliwhirl; NONE;
63;Abra;Psychic;NONE;310;25;20;15;105;55;90;1;FALSO; NONE; Kadabra;
64;Kadabra;Psychic;NONE;400;40;35;30;120;70;105;1;FALSO; Abra; Alakazam;
65;Alakazam;Psychic;NONE;500;55;50;45;135;95;120;1;FALSO; Kadabra; NONE;
65;Mega Alakazam;Psychic;NONE;590;55;50;65;175;95;150;1;FALSO; NONE; NONE;
66;Machop;Fighting;NONE;305;70;80;50;35;35;35;1;FALSO; NONE; Machoke;
67;Machoke;Fighting;NONE;405;80;100;70;50;60;45;1;FALSO; Machop; Machamp;
68;Machamp;Fighting;NONE;505;90;130;80;65;85;55;1;FALSO; Machoke; NONE;
68;Gigantamax Machamp;Fighting;NONE;505;90;130;80;65;85;55;1;FALSO; NONE; NONE;
69;Bellsprout;Grass;Poison;300;50;75;35;70;30;40;1;FALSO; NONE; Weepinbell;
70;Weepinbell;Grass;Poison;390;65;90;50;85;45;55;1;FALSO; Bellsprout; Victreebel;
71;Victreebel;Grass;Poison;490;80;105;65;100;70;70;1;FALSO; Weepinbell; NONE;
72;Tentacool;Water;Poison;335;40;40;35;50;100;70;1;FALSO; NONE; Tentacruel;
73;Tentacruel;Water;Poison;515;80;70;65;80;120;100;1;FALSO; Tentacool; NONE;
74;Geodude;Rock;Ground;300;40;80;100;30;30;20;1;FALSO; NONE; Graveler;
74;Alolan Geodude;Rock;Electric;300;40;80;100;30;30;20;7;FALSO; NONE; Alolan Graveler;
75;Graveler;Rock;Ground;390;55;95;115;45;45;35;1;FALSO; Geodude; Golem;
75;Alolan Graveler;Rock;Electric;390;55;95;115;45;45;35;7;FALSO; Alolan Geodude; Alolan Golem;
76;Golem;Rock;Ground;495;80;120;130;55;65;45;1;FALSO; Graveler; NONE;
76;Alolan Golem;Rock;Electric;495;80;120;130;55;65;45;7;FALSO; Alolan Graveler; NONE;
77;Ponyta;Fire;NONE;410;50;85;55;65;65;90;1;FALSO; NONE; Rapidash;
77;Galarian Ponyta;Psychic;Fairy;410;50;85;55;65;65;90;8;FALSO; NONE; Galarian Rapidash;
78;Rapidash;Fire;NONE;500;65;100;70;80;80;105;1;FALSO; Ponyta; NONE;
78;Galarian Rapidash;Psychic;Fairy;500;65;100;70;80;80;105;8;FALSO; Galarian Ponyta; NONE;
79;Slowpoke;Water;Psychic;315;90;65;65;40;40;15;1;FALSO; NONE; Slowbro;
79;Galarian Slowpoke;Psychic;NONE;315;90;65;65;40;40;15;8;FALSO; NONE; Galarian Slowbro;
80;Slowbro;Water;Psychic;490;95;75;110;100;80;30;1;FALSO; Slowpoke; NONE;
80;Galarian Slowbro;Poison;Psychic;490;95;100;95;100;70;30;8;FALSO; Galarian Slowpoke; NONE;
80;Mega Slowbro;Water;Psychic;590;95;75;180;130;80;30;1;FALSO; NONE; NONE;
81;Magnemite;Electric;Steel;325;25;35;70;95;55;45;1;FALSO; NONE; Magneton;
82;Magneton;Electric;Steel;465;50;60;95;120;70;70;1;FALSO; Magnemite; Magnezone;
83;Farfetch'd;Normal;Flying;352;52;90;55;58;62;60;1;FALSO; NONE; NONE;
83;Galarian Farfetch'd;Fighting;NONE;377;52;95;55;58;62;55;8;FALSO; NONE; Sirfetch'd;
84;Doduo;Normal;Flying;310;35;85;45;35;35;75;1;FALSO; NONE; Dodrio;
85;Dodrio;Normal;Flying;460;60;110;70;60;60;100;1;FALSO; Doduo; NONE;
86;Seel;Water;NONE;325;65;45;55;45;70;45;1;FALSO; NONE; Dewgong;
87;Dewgong;Water;Ice;475;90;70;80;70;95;70;1;FALSO; Seel; NONE;
88;Grimer;Poison;NONE;325;80;80;50;40;50;25;1;FALSO; NONE; Muk;
88;Alolan Grimer;Poison;Dark;325;80;80;50;40;50;25;7;FALSO; NONE; Alolan Muk;
89;Muk;Poison;NONE;500;105;105;75;65;100;50;1;FALSO; Grimer; NONE;
89;Alolan Muk;Poison;Dark;500;105;105;75;65;100;50;7;FALSO; Alolan Grimer; NONE;
90;Shellder;Water;NONE;305;30;65;100;45;25;40;1;FALSO; NONE; Cloyster;
91;Cloyster;Water;Ice;525;50;95;180;85;45;70;1;FALSO; Shellder; NONE;
92;Gastly;Ghost;Poison;310;30;35;30;100;35;80;1;FALSO; NONE; Haunter;
93;Haunter;Ghost;Poison;405;45;50;45;115;55;95;1;FALSO; Gastly; Gengar;
94;Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;FALSO; Haunter; NONE;
94;Mega Gengar;Ghost;Poison;600;60;65;80;170;95;130;1;FALSO; NONE; NONE;
94;Gigantamax Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;FALSO; NONE; NONE;
95;Onix;Rock;Ground;385;35;45;160;30;45;70;1;FALSO; NONE; Steelix;
96;Drowzee;Psychic;NONE;328;60;48;45;43;90;42;1;FALSO; NONE; Hypno;
97;Hypno;Psychic;NONE;483;85;73;70;73;115;67;1;FALSO; Drowzee; NONE;
98;Krabby;Water;NONE;325;30;105;90;25;25;50;1;FALSO; NONE; Kingler;
99;Kingler;Water;NONE;475;55;130;115;50;50;75;1;FALSO; Krabby; NONE;
99;Gigantamax Kingler;Water;NONE;475;55;130;115;50;50;75;1;FALSO; NONE; NONE;
100;Voltorb;Electric;NONE;330;40;30;50;55;55;100;1;FALSO; NONE; Electrode;
101;Electrode;Electric;NONE;480;60;50;70;80;80;140;1;FALSO; Voltorb; NONE;
102;Exeggcute;Grass;Psychic;325;60;40;80;60;45;40;1;FALSO; NONE; Exeggutor;
103;Exeggutor;Grass;Psychic;520;95;95;85;125;65;55;1;FALSO; Exeggcute; NONE;
103;Alolan Exeggutor;Grass;Dragon;530;95;105;85;125;75;45;7;FALSO; Exeggcute; NONE;
104;Cubone;Ground;NONE;320;50;50;95;40;50;35;1;FALSO; NONE; Marowak;
105;Marowak;Ground;NONE;425;60;80;110;50;80;45;1;FALSO; Cubone; NONE;
105;Alolan Marowak;Fire;Ghost;425;60;80;110;50;80;45;7;FALSO; Cubone; NONE;
106;Hitmonlee;Fighting;NONE;455;50;120;53;35;110;87;1;FALSO; Tyrogue; NONE;
107;Hitmonchan;Fighting;NONE;455;50;105;79;35;110;76;1;FALSO; Tyrogue; NONE;
108;Lickitung;Normal;NONE;385;90;55;75;60;75;30;1;FALSO; NONE; Lickilicky;
109;Koffing;Poison;NONE;340;40;65;95;60;45;35;1;FALSO; NONE; Weezing;
110;Weezing;Poison;NONE;490;65;90;120;85;70;60;1;FALSO; Koffing; NONE;
110;Galarian Weezing;Poison;Fairy;490;65;90;120;85;70;60;8;FALSO; Koffing; NONE;
111;Rhyhorn;Ground;Rock;345;80;85;95;30;30;25;1;FALSO; NONE; Rhydon;
112;Rhydon;Ground;Rock;485;105;130;120;45;45;40;1;FALSO; Rhyhorn; Rhyperior;
113;Chansey;Normal;NONE;450;250;5;5;35;105;50;1;FALSO; Happiny; Blissey;
114;Tangela;Grass;NONE;435;65;55;115;100;40;60;1;FALSO; NONE; Tangrowth;
115;Kangaskhan;Normal;NONE;490;105;95;80;40;80;90;1;FALSO; NONE; NONE;
115;Mega Kangaskhan;Normal;NONE;590;105;125;100;60;100;100;1;FALSO; NONE; NONE;
116;Horsea;Water;NONE;295;30;40;70;70;25;60;1;FALSO; NONE; Seadra;
117;Seadra;Water;NONE;440;55;65;95;95;45;85;1;FALSO; Horsea; Kingdra;
118;Goldeen;Water;NONE;320;45;67;60;35;50;63;1;FALSO; NONE; Seaking;
119;Seaking;Water;NONE;450;80;92;65;65;80;68;1;FALSO; Goldeen; NONE;
120;Staryu;Water;NONE;340;30;45;55;70;55;85;1;FALSO; NONE; Starmie;
121;Starmie;Water;Psychic;520;60;75;85;100;85;115;1;FALSO; Staryu; NONE;
122;Mr. Mime;Psychic;Fairy;460;40;45;65;100;120;90;1;FALSO; Mime Jr.; NONE;
122;Galarian Mr. Mime;Ice;Psychic;460;50;65;65;90;90;100;8;FALSO; Mime Jr.; NONE;
123;Scyther;Bug;Flying;500;70;110;80;55;80;105;1;FALSO; NONE; Scizor;
124;Jynx;Ice;Psychic;455;65;50;35;115;95;95;1;FALSO; Smoochum; NONE;
125;Electabuzz;Electric;NONE;490;65;83;57;95;85;105;1;FALSO; Elekid; Electivire;
126;Magmar;Fire;NONE;495;65;95;57;100;85;93;1;FALSO; Magby; Magmortar;
127;Pinsir;Bug;NONE;500;65;125;100;55;70;85;1;FALSO; NONE; NONE;
127;Mega Pinsir;Bug;Flying;600;65;155;120;65;90;105;1;FALSO; NONE; NONE;
128;Tauros;Normal;NONE;490;75;100;95;40;70;110;1;FALSO; NONE; NONE;
129;Magikarp;Water;NONE;200;20;10;55;15;20;80;1;FALSO; NONE; Gyarados;
130;Gyarados;Water;Flying;540;95;125;79;60;100;81;1;FALSO; Magikarp;  NONE;
130;Mega Gyarados;Water;Dark;640;95;155;109;70;130;81;1;FALSO; NONE; NONE;
131;Lapras;Water;Ice;535;130;85;80;85;95;60;1;FALSO; NONE; NONE;
131;Gigantamax Lapras;Water;Ice;535;130;85;80;85;95;60;1;FALSO; NONE; NONE;
132;Ditto;Normal;NONE;288;48;48;48;48;48;48;1;FALSO; NONE; NONE;
133;Eevee;Normal;NONE;325;55;55;50;45;65;55;1;FALSO; NONE; Vaporeon;
133;Gigantamax Eevee;Normal;NONE;325;55;55;50;45;65;55;1;FALSO; NONE; NONE;
134;Vaporeon;Water;NONE;525;130;65;60;110;95;65;1;FALSO; Eevee; NONE;
135;Jolteon;Electric;NONE;525;65;65;60;110;95;130;1;FALSO; Eevee; NONE;
136;Flareon;Fire;NONE;525;65;130;60;95;110;65;1;FALSO; Eevee; NONE;
137;Porygon;Normal;NONE;395;65;60;70;85;75;40;1;FALSO; NONE; Porygon2;
138;Omanyte;Rock;Water;355;35;40;100;90;55;35;1;FALSO; NONE; Omastar;
139;Omastar;Rock;Water;495;70;60;125;115;70;55;1;FALSO; Omanyte; NONE;
140;Kabuto;Rock;Water;355;30;80;90;55;45;55;1;FALSO; NONE; Kabutops;
141;Kabutops;Rock;Water;495;60;115;105;65;70;80;1;FALSO; Kabuto; NONE;
142;Aerodactyl;Rock;Flying;515;80;105;65;60;75;130;1;FALSO; NONE; NONE;
142;Mega Aerodactyl;Rock;Flying;615;80;135;85;70;95;150;1;FALSO; NONE; NONE;
143;Snorlax;Normal;NONE;540;160;110;65;65;110;30;1;FALSO; Munchlax; NONE;
143;Gigantamax Snorlax;Normal;NONE;540;160;110;65;65;110;30;1;FALSO; NONE; NONE;
144;Articuno;Ice;Flying;580;90;85;100;95;125;85;1;VERDADERO; NONE; NONE;
144;Galarian Articuno;Psychic;Flying;580;90;85;85;125;100;95;8;VERDADERO; NONE; NONE;
145;Zapdos;Electric;Flying;580;90;90;85;125;90;100;1;VERDADERO; NONE; NONE;
145;Galarian Zapdos;Fighting;Flying;580;90;125;90;85;90;100;8;VERDADERO; NONE; NONE;
146;Moltres;Fire;Flying;580;90;100;90;125;85;90;1;VERDADERO; NONE; NONE;
146;Galarian Moltres;Dark;Flying;580;90;85;90;100;125;90;8;VERDADERO; NONE; NONE;
147;Dratini;Dragon;NONE;300;41;64;45;50;50;50;1;FALSO; Dragonair; NONE;
148;Dragonair;Dragon;NONE;420;61;84;65;70;70;70;1;FALSO; Dratini; Dragonite;
149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80;1;FALSO; Dragonair; NONE;
150;Mewtwo;Psychic;NONE;680;106;110;90;154;90;130;1;VERDADERO; NONE; NONE;
150;Mega Mewtwo X;Psychic;Fighting;780;106;190;100;154;100;130;1;VERDADERO; NONE; NONE;
150;Mega Mewtwo Y;Psychic;NONE;780;106;150;70;194;120;140;1;VERDADERO; NONE; NONE;
151;Mew;Psychic;NONE;600;100;100;100;100;100;100;1;VERDADERO; NONE; NONE;
152;Chikorita;Grass;NONE;318;45;49;65;49;65;45;2;FALSO; NONE; Bayleef;
153;Bayleef;Grass;NONE;405;60;62;80;63;80;60;2;FALSO; Chikorita; Meganium;
154;Meganium;Grass;NONE;525;80;82;100;83;100;80;2;FALSO; Bayleef; NONE;
155;Cyndaquil;Fire;NONE;309;39;52;43;60;50;65;2;FALSO; NONE; Quilava;
156;Quilava;Fire;NONE;405;58;64;58;80;65;80;2;FALSO; Cyndaquill; Typholsion;
157;Typhlosion;Fire;NONE;534;78;84;78;109;85;100;2;FALSO; Quilava; NONE;
158;Totodile;Water;NONE;314;50;65;64;44;48;43;2;FALSO; NONE; Croconaw;
159;Croconaw;Water;NONE;405;65;80;80;59;63;58;2;FALSO; Totodile; Feraligatr;
160;Feraligatr;Water;NONE;530;85;105;100;79;83;78;2;FALSO; Croconaw; NONE;
161;Sentret;Normal;NONE;215;35;46;34;35;45;20;2;FALSO; NONE; Furret;
162;Furret;Normal;NONE;415;85;76;64;45;55;90;2;FALSO; Sentret; NONE;
163;Hoothoot;Normal;Flying;262;60;30;30;36;56;50;2;FALSO; NONE; Noctowl;
164;Noctowl;Normal;Flying;442;100;50;50;76;96;70;2;FALSO; Hoothoot; NONE;
165;Ledyba;Bug;Flying;265;40;20;30;40;80;55;2;FALSO; NONE; Ledian;
166;Ledian;Bug;Flying;390;55;35;50;55;110;85;2;FALSO; Ledyba; NONE;
167;Spinarak;Bug;Poison;250;40;60;40;40;40;30;2;FALSO; NONE; Ariados;
168;Ariados;Bug;Poison;390;70;90;70;60;60;40;2;FALSO; Spinarak; NONE;
169;Crobat;Poison;Flying;535;85;90;80;70;80;130;2;FALSO; Golbat; NONE;
170;Chinchou;Water;Electric;330;75;38;38;56;56;67;2;FALSO; NONE; Lanturn;
171;Lanturn;Water;Electric;460;125;58;58;76;76;67;2;FALSO; Chinchou; NONE;
172;Pichu;Electric;NONE;205;20;40;15;35;35;60;2;FALSO; NONE; Pikachu;
173;Cleffa;Fairy;NONE;218;50;25;28;45;55;15;2;FALSO; NONE; Clefairy;
174;Igglybuff;Normal;Fairy;210;90;30;15;40;20;15;2;FALSO; NONE; Igglybuff;
175;Togepi;Fairy;NONE;245;35;20;65;40;65;20;2;FALSO; NONE; Togetic;
176;Togetic;Fairy;Flying;405;55;40;85;80;105;40;2;FALSO; Togepi; Togekiss;
177;Natu;Psychic;Flying;320;40;50;45;70;45;70;2;FALSO; NONE; Xatu;
178;Xatu;Psychic;Flying;470;65;75;70;95;70;95;2;FALSO; Natu; NONE;
179;Mareep;Electric;NONE;280;55;40;40;65;45;35;2;FALSO; NONE; Flaaffy;
180;Flaaffy;Electric;NONE;365;70;55;55;80;60;45;2;FALSO; Mareep; Ampharos;
181;Ampharos;Electric;NONE;510;90;75;85;115;90;55;2;FALSO; Flaaffy; NONE;
181;Mega Ampharos;Electric;Dragon;610;90;95;105;165;110;45;2;FALSO; NONE; NONE;
182;Bellossom;Grass;NONE;490;75;80;95;90;100;50;2;FALSO; Gloom; NONE;
183;Marill;Water;Fairy;250;70;20;50;20;50;40;2;FALSO; Azurill; Azumarill;
184;Azumarill;Water;Fairy;420;100;50;80;60;80;50;2;FALSO; Marill; NONE;
185;Sudowoodo;Rock;NONE;410;70;100;115;30;65;30;2;FALSO; Bonsly; NONE;
186;Politoed;Water;NONE;500;90;75;75;90;100;70;2;FALSO; Poliwhirl; NONE;
187;Hoppip;Grass;Flying;250;35;35;40;35;55;50;2;FALSO; NONE; Skiploom;
188;Skiploom;Grass;Flying;340;55;45;50;45;65;80;2;FALSO; Hopip; Jumpluff;
189;Jumpluff;Grass;Flying;460;75;55;70;55;95;110;2;FALSO; Skiploom; NONE;
190;Aipom;Normal;NONE;360;55;70;55;40;55;85;2;FALSO; NONE; Ambipom;
191;Sunkern;Grass;NONE;180;30;30;30;30;30;30;2;FALSO; NONE; Sunflora;
192;Sunflora;Grass;NONE;425;75;75;55;105;85;30;2;FALSO; Sunkern; NONE;
193;Yanma;Bug;Flying;390;65;65;45;75;45;95;2;FALSO; NONE; Yanmega;
194;Wooper;Water;Ground;210;55;45;45;25;25;15;2;FALSO; NONE; Quagsire;
195;Quagsire;Water;Ground;430;95;85;85;65;65;35;2;FALSO; Wooper; NONE;
196;Espeon;Psychic;NONE;525;65;65;60;130;95;110;2;FALSO; Eevee; NONE;
197;Umbreon;Dark;NONE;525;95;65;110;60;130;65;2;FALSO; Eevee; NONE;
198;Murkrow;Dark;Flying;405;60;85;42;85;42;91;2;FALSO; NONE; Honchkrow;
199;Slowking;Water;Psychic;490;95;75;80;100;110;30;2;FALSO; Slowpoke; NONE;
199;Galarian Slowking;Poison;Psychic;490;95;65;80;110;110;30;8;FALSO; Galarian Slowpoke; NONE;
200;Misdreavus;Ghost;NONE;435;60;60;60;85;85;85;2;FALSO; NONE; Mismagius;
201;Unown;Psychic;NONE;336;48;72;48;72;48;48;2;FALSO; NONE; NONE;
202;Wobbuffet;Psychic;NONE;405;190;33;58;33;58;33;2;FALSO; Wynaut; NONE;
203;Girafarig;Normal;Psychic;455;70;80;65;90;65;85;2;FALSO; NONE; NONE;
204;Pineco;Bug;NONE;290;50;65;90;35;35;15;2;FALSO; NONE; Forretress;
205;Forretress;Bug;Steel;465;75;90;140;60;60;40;2;FALSO; Pineco; NONE;
206;Dunsparce;Normal;NONE;415;100;70;70;65;65;45;2;FALSO; NONE; NONE;
207;Gligar;Ground;Flying;430;65;75;105;35;65;85;2;FALSO; NONE; Gliscor;
208;Steelix;Steel;Ground;510;75;85;200;55;65;30;2;FALSO; Onix; NONE;
208;Mega Steelix;Steel;Ground;610;75;125;230;55;95;30;2;FALSO; NONE; NONE;
209;Snubbull;Fairy;NONE;300;60;80;50;40;40;30;2;FALSO; NONE; Granbull;
210;Granbull;Fairy;NONE;450;90;120;75;60;60;45;2;FALSO; Snubbull; NONE;
211;Qwilfish;Water;Poison;430;65;95;75;55;55;85;2;FALSO; NONE; NONE;
212;Scizor;Bug;Steel;500;70;130;100;55;80;65;2;FALSO; Scyther; NONE;
212;Mega Scizor;Bug;Steel;600;70;150;140;65;100;75;2;FALSO; NONE; NONE;
213;Shuckle;Bug;Rock;505;20;10;230;10;230;5;2;FALSO; NONE; NONE;
214;Heracross;Bug;Fighting;500;80;125;75;40;95;85;2;FALSO; NONE; NONE;
214;Mega Heracross;Bug;Fighting;600;80;185;115;40;105;75;2;FALSO; NONE; NONE;
215;Sneasel;Dark;Ice;430;55;95;55;35;75;115;2;FALSO; NONE; Weavile;
216;Teddiursa;Normal;NONE;330;60;80;50;50;50;40;2;FALSO; NONE; Ursaring;
217;Ursaring;Normal;NONE;500;90;130;75;75;75;55;2;FALSO; Teddiursa; NONE;
218;Slugma;Fire;NONE;250;40;40;40;70;40;20;2;FALSO; NONE; Magcargo;
219;Magcargo;Fire;Rock;410;50;50;120;80;80;30;2;FALSO; Slugma; NONE;
220;Swinub;Ice;Ground;250;50;50;40;30;30;50;2;FALSO; NONE; Piloswine;
221;Piloswine;Ice;Ground;450;100;100;80;60;60;50;2;FALSO; Swinub; Mamoswine;
222;Corsola;Water;Rock;380;55;55;85;65;85;35;2;FALSO; NONE; NONE;
222;Galarian Corsola;Ghost;NONE;380;60;55;100;65;100;30;8;FALSO; NONE; Cursola;
